task,coder3,coder2,coder1
"joe & tina rogers to demolish single-family home and construct new 2,610 sq.ft., 3-story single-family home with attached 441 sq.ft., 2-car garage, hardscape improvements, minimal planter landscaping, and request for after-the-fact approval of 8x30 concrete patio and 3-ft. tall patio perimeter wall within citys oceanfront encroachment area on an oceanfront lot at 6908 oceanfront ave., newport beach, orange county.  ",1,1,1
"david jenkins & patricia manzo for 120-ft-long bulkhead fronting newport bay, and fill of 562 sq.ft. of high intertidal sandy habitat, at 2215 & 2223 bayside drive, newport beach, orange county.  ",6,6,6
"darrin wilson trust to demolish 2-story single family home and construct new 2,099 sq.ft., 2-story single family home with attached 321 sq.ft. 2-car garage on beachfront lot consisting of minimum landscaping and no grading, at 5405 seashore drive, newport beach, orange county.  ",1,1,1
"venoco inc. to repair dirt access road & seawall , repair two piers , and repair two idle leaking wells , on beach and offshore goleta, state lease 421, santa barbara county.  ",6,6,6
"co-applicants california dept. of transportation  & city of goleta to reconstruct the existing hollister ave/highway 101 intersection, pursuant to a consolidated coastal development permit which includes replacement of existing overpass structures over highway and uprr, and realignment with cathedral oaks road, located within city of goleta and adjoining small area of unincorporated santa barbara county.  ",11,11,11
"pier avenue partnership for 3,499 sq.ft. 2-story retail building with 12 on-site parking spaces, at 3002 main street, santa monica, los angeles county.  ",2,2,2
"a v p for 3-day volleyball tournament  including 1,500 bleacher seats with 25% paid admission, with set-up 7/6/98 and tear down by 7/14/98, at 8th street parking lot, seal beach, orange county.  ",11,11,11
"pacific view estates, llc for one-story 4,408 sq.ft. single-family home, attached garage, 600 sq.ft. accessory structure, spa and landscaping on blufftop lot, southwest of camino del mar & border avenue, del mar, san diego county.  ",1,1,1
"jose turcios to construct 35-ft. high, 4,759 sq.ft. single-family home, 822 sq.ft. attached garage, 719 sq.ft. veranda, pool, septic system, extension of maliview drive access road, driveway, 2 gates, retaining walls, and 10,950 cu.yds. of grading , at 25710 mulholland highway, santa monica mountains, los angeles county.  ",1,1,1
"calafia partners, l.l.c. for two 38-ft-high commercial office buildings totaling 12,300 sq.ft. and 41 parking spaces on 26,104 sq.ft. lot with 430 sq.ft. of export for garage, at 101 avenida calafia, san clemente, orange county.  ",2,2,2
"christof jantzen to construct 1,444 sq.ft., 30-ft. high, 1story single family home with attached carport; patio; water tank; septic system; retaining walls; 628.5 cu.yds. of grading ; vacate los angeles county public road , and roadway improvements to kerry lane, including construction of 760 linear feet of pavement and 120 linear feet of permeable concrete up to 20-ft. wide, 590-ft. long retaining wall with average height of 3.9 ft., and 944 cu.yds. of grading  located at 1840 kerry lane, topanga, los angeles county.   ",1,1,1
"theodore c. cooper to merge two 25-ft-wide lots at 15 sole street, king salmon area of humboldt county.   ",10,10,10
"city of pacifica to retain 700-ft. long, 40-ft. wide, 20 ft. tall rock revetment, previously constructed under emergency conditions and previously approved under a-2-pac-00-10 and 2-00-009, along bluff face west of 528-572 esplanade drive, pacifica, san mateo county.  ",6,6,6
"christa m. mcreynolds to divide 34.3 acres to create 49 residential lots, with one 19.2 acre open-space lot, 47,000 cu.yds. of grading, and construct public roadways, sidewalks, curbs, gutters and drainage facilities, south of palomar airport rd., east of paseo del norte, west of hidden valley road, carlsbad, san diego county.   ",10,10,10
"amy goldstein to convert 2-story 810 sq.ft. single-family home into accessory structure , and construct 30-ft-high 2,500 sq.ft. single-family home & detached 2-car garage on two canal front lots, at 2806 strong's drive, venice, los angeles, los angeles county.  ",1,1,1
"robert vicino for 2-story 5,500 sq.ft. single-family home, septic system and 950 cu.yds. of grading on 26,411 sq.ft. lot, at 985 jeffrey road, solana beach, san diego county.   ",1,1,1
"city of coronado for storm drain improvements including 18\ and 24\"" outfall pipe to beach and closure & abandonment of existing outfall, minor trenching and backfilling of street and road shoulder to restore surface, in public right-of-way at intersection of ocean blvd., dana place and central beach, coronado, san diego county.  """,11,7,7
"mr. & mrs. medhat m. rofael for after-the-fact approval of remodel of ocean front 3,044 sq.ft., 2-story duplex with attached 358 sq.ft., 2-car garage with addition of new 226 sq.ft., third story and 258 sq.ft. third story uncovered deck resulting in 3,270 sq. ft., 3-story, 28-ft. tall duplex and after-the-fact approval of 10-ft. deep by 30-ft. wide concrete at-grade patio with 2-ft. tall concrete block perimeter fence within designated oceanfront encroachment area, at 4607 seashore dr., newport beach, orange county.  ",1,4,1
"county of los angeles public works to construct low-flow diversion system, including reconstructing concrete channel at oxford basin outlet structure, at northeastern end of oxford basin , marina del rey, los angeles county.  ",7,7,7
"los angeles county, dept. of public works to retrofit 4-lane bridge by welding steel casings around existing bridge supports in alamitos bay, at second street bridge over alamitos bay, long beach, los angeles county.   ",11,11,11
"farzan ghadooshany to remodel and add 376 sq.ft. to first floor & new 930 sq.ft. 2nd floor to 2,035 sq.ft. gas station, and convert service bay to market, at 14791 pacific coast highway, pacific palisades, los angeles, los angeles county. ",2,2,2
"NA5-99-205  catalina express and county of orange granted permit to demolish part of dock, remove one piling, install float, add 4 pilings & one float to accommodate ferry service to catalina island, with 100 leased parking spaces and access to additional 50 spaces for overflow parking, at dana point harbor, dana point, orange county.  ",11,3,3
"city of san diego engineering & capital projects dept. for various shoreline stabilization measures including: extension of existing rip rap revetment by 30 linear feet with 550 tons of rock at southwest portion of mariner’s point, installation of drainage pipe and recontour of beach at ventura cove, recontour of beach at northwest vacation island; rehabilitate 750 lineal foot section of rock riprap revetment including installation of filter fabric and 5,200 tons of rock at vacation island, south cove; reconstruction of west ski island with armorflex perimeter and 13,900 cu.yds. of dredging to create cove area for boats; and recontour of paradise island with 1,600 cu.yds. of sand, at mission bay park, san diego, san diego county.  ",6,6,6
"city of solana beach for 5-ft-high retaining wall and re-striping of parking lot for commercial building, at 137 lomas santa fe drive, solana beach, san diego county.  ",5,6,5
"california dept of fish & game for oregon silverspot butterfly experimental habitat improvement pilot project, at 5 sites within pacific shores subdivision, near fort dick, del norte county.  [substantial issue found",9,9,9
"gene huber for 4,100 sq.ft. 30-ft-high single-family home, garage and lap pool on .5 acre site on north shore of agua hedionda lagoon, 418 cu.yds. of cut with 238 yards exported off-site, off-site mitigation for impacts to coastal sage scrub habitat, and offer to dedicate public access easement for public trail, at 4485 adams street, carlsbad, san diego county.  ",1,1,1
"santa barbara county flood control district for annual desilting program to remove up to 5,000 cu.yds. of sediment per year from lower devereux creek, disposal of excavated sediment at an upland disposal site, and yearly vegetation mowing along one side of the creek channel, 69254 whittier dr., goleta, santa barbara county.  ",7,7,7
"city of pacific grove for 100 parking meters and ongoing parking regulation at: eardley avenue, dewey avenue, sloat avenue, oceanview blvd., & wave street , pacific grove, monterey county.  ",11,11,11
"robert & nancy conger to remodel interior and construct 591 sq.ft. 12½-ft-high first story addition behind 3,152 sq.ft. 2-story single-family home on blufftop, and construct 3 retaining walls, 404 sq.ft. patio, spa & stairs, and 246 sq.ft. wood deck cantilevered 12 inches above grade on bluff face in rear yard of 23,400 sq.ft. lot, with 8.9 cu.yds. of grading, at 501 paseo de la playa, torrance, los angeles county.   ",1,1,1
"mr jim reich for 2-story 1,198 sq. ft. single-family home, attached 390 sq. ft. garage, 660 sq. ft. basement, permeable driveway, and private septic system, at 31869 west sea level, malibu, los angeles county.  ",1,1,1
"tom elliott to construct 2-story, 28-ft. high, 4,413 sq. ft. single-family home with 1,129 sq. ft. attached garage, swimming pool, septic system, 300-ft. long driveway with hammerhead turnaround, retaining walls, perimeter fencing, and 2,560 cu. yds. of grading  at 1522 decker canyon road, santa monica mountains, los angeles county.  ",1,1,1
"la ladera homeowners association & boca del canon, llc for replacement and relocation of vehicular entry gate with new 6ft-high motorized wrought iron gate with stucco pilasters, decorative paving, landscaping, irrigation and lighting, at intersection of boca del canon & la rambla, san clemente, orange county.  ",2,4,4
"peter w. doerken for 860 cu.yds. of grading for slope remediation of active landslide, at 25225 malibu road, malibu, los angeles county.  ",5,5,5
"city of seal beach to deposit 150,00 cu.yds of sand  on east beach for beach nourishment, next to seal way, seal beach, orange county.  ",7,7,7
"city of newport beach to relocate volleyball court and install 2 poles to accommodate volleyball net, removal of approximately 100 sq.ft. of invasive, non-native ice plant and leveling of sand to accommodate volleyball court , at china cove beach, newport beach, orange county.  ",11,11,11
"solana beach presbyterian church to demolish 2 classroom buildings totaling 11,994 sq. ft. and 6,584 sq.ft. chapel/support building and construct new 2-story 14,022 sq.ft. classroom building with 2,090 sq.ft. basement and 3,553 sq.ft. chapel/support building on 210,882 sq.ft. lot also containing 10,983 sq.ft. sanctuary and 13,794 sq.ft. fellowship hall, at 120 stevens ave., solana beach, san diego county.  ",2,2,2
"spears family trust to demolish 1-story home, detached studio, tea house, & wood boardwalk at 31272 broad beach road; merge 2 lots; remove rock revetment; construct 28-ft-high 13,398 sq.ft. single-family home, two attached garages, basement, greenhouse, new driveway, decks, pool & spa, sewage system, with landscaping & 1,130 cu.yds. of grading; offer to record open space deed restriction between deck or patio line and seaward limit of dune vegetation; restore dune system; and offer to dedicate lateral public access along beach from seaward limit of dune vegetation to mean high tide line, at 31272 & 31268 broad beach road, malibu, los angeles county.   ",1,1,1
"santa ana regional water quality control board, merkel & assoc., and seagate lagoon homeowners assoc. to eradicate caulerpa taxifolia, a non-native, invasive aquatic algae, from 3-acre infested area within harbor, at seagate lagoon in huntington harbor, huntington beach, orange county.  ",9,9,9
"poseidon resources  llc to construct and operate seawater desalination facility and associated pipelines and pumping facilities on site of encina power plant, carlsbad, san diego county.  ",8,8,8
"arthur e. nicholas for 1-story 384 sq.ft. wood, glass & concrete greenhouse structure on 13,560 sq.ft. lot with existing tennis court & landscaping improvements, at 2810 camino del mar, del mar, san diego county.   ",2,2,2
"south coast water district for 2,800-ft-long 12-in-diameter water pipeline, along pacific coast highway from del obispo st. to doheny park road, dana point, orange county.  ",4,4,4
"santa catalina island company to establish commercial underwater tourist attraction  that utilizes floating dock seaward of mean high tide line at descanso bay. the sea trek underwater tourist attraction will provide guide service to lead small groups of customers  on underwater walks on seafloor to observe marine life, at descanso bay, avalon, los angeles county.  ",2,3,3
"william keenan, e. russell wyluda, judy wyluda & bonnie keenan to divide 20 acres into 3 residential lots with 3,200 cu.yds. of grading and paved access road, at 21701 saddlepeak road, topanga, los angeles county.  ",10,10,10
"NA6-98-154-a3  request by san dieguito river park jpa to amend permit for residential subdivision to revise special conditions to allow for the construction of an open air trailside classroom within open space, located on an upland fill deposition site with the eastern basin of the san dieguito lagoon, north city, san diego, san diego county.  ",10,2,2
"janice k. gath to remove and replace private double u-shaped dock float and pier in same location and no new piles, at 255 bay shore, long beach, los angeles county.  ",3,3,3
"pebble beach company for two concrete seawalls with steel tiebacks and artificial stone fascia at base of coastal bluff to protect 5th tee  and 5th green , at 5th hole @ pebble beach golf links, pebble beach, monterey county.  ",6,6,6
"hellman properties to divide 196 acres into 9 lots, divide one lot into 70 single-family home lots, construct public golf course  and golf clubhouse, dedicate gum grove park to city of seal beach, create 26 acres of saltwater marsh and reserve existing oil production areas for future wetland restoration, construct interpretive areas, dedicate public access trails, and visitor-serving recreation facilities, extend adolfo lopez drive, and conduct archaeological testing program, at helman ranch; northeast of pacific coast highway , southeast of san gabriel river, south of adolfo lopez drive, west of seal beach blvd., & north of marina hill, seal beach, orange county.  ",10,10,10
"charles s. gullo for 44-ft-high 4,360 sq.ft. single-family home with attached three-car garage on lagoon-fronting lot, at 5003 roma court, venice, los angeles, los angeles county.  ",1,1,1
"harley broviak to reinforce existing seawall associated with existing single family home by constructing truline pile wall on landward side of existing seawall, at 2709 cove street, newport beach, orange county.  ",6,6,6
"james clarke to remove existing dock, gangway, and 2 of 4 concrete piles , and install new 10.5 x 45.66 dock, 24 x 3 wood gangway, four 16- in. concrete piles, and one 14-in. concrete pile. the dock system will be composed of douglas fir, at 127 harbor island rd., newport beach.  ",3,3,3
"daniel fitzgerald to construct an approximately 6,970 sq. ft. four-story single family residence over basement including four-car garage and roofdeck; improve drainage and native landscaping at rear of property adjacent to ballona lagoon, on vacant lot at 5115 via donte, venice, city of los angeles, los angeles county.  ",1,1,1
"2000 main street, l.l.c. to demolish restaurant & specialty market and construct 135,045 sq.ft. 35-ft-high mixed-use building  on 45,152 sq.ft. lot, at 2012 main street; and demolish parking lot and construct 34,679 sq.ft. 27-ft-high mixed-use building  on 18,000 sq.ft. lot, at 2021 main street; santa monica, los angeles county.  ",2,2,2
"david podleski to demolish 600 sq.ft. single-family home & detached garage, and construct 25-ft-high 2,711 sq.ft. single-family home & attached garage, at 839 superba, venice, los angeles, los angeles county.  ",1,1,1
"sherill johnson & albert moore to demolish 2-story single-family home, and construct 28-ft-high 3,793 sq.ft. duplex with 5-car carport, at 19 east 26th avenue, venice, los angeles, los angeles county.  ",1,1,1
"malibu investors for 6,011 sq.ft. 28-ft-high single-family home, attached garage, swimming pool, septic system, and 505 cu.yds. of grading, at 27495 latigo bay view drive, malibu, los angeles county.  ",1,1,1
"michael deutsch to construct 2-story, 3-level, 11,037 sq. ft. single family residence on 2.88 acre sloping site, at 3997 stonebridge court, rancho santa fe, san diego county.  ",1,1,1
"city of san diego, environmental monitoring & technical services division, to construct sediment detention basin, remove non-native vegetation and revegetate with native wetland species, at west point loma blvd. & famosa blvd. , peninsula, san diego, san diego county.  ",9,7,7
"donnelley family partnership to demolish single-family home, construct 2-story 2,748 sq.ft. single-family home on 5,735 sq.ft. site, at 224 18th street, del mar, san diego county.   ",1,1,1
"harold d craft for 3,998 sq.ft. 1-story single-family home attached to 655 sq.ft. garage on bluff top lot, next to upper newport bay ecological reserve, at 1742 galaxy drive, newport beach, orange county.  ",1,1,1
"luanne wells for 28-ft-high 6,364 sq.ft. single-family home, attached 28-ft-high 4-car garage, detached 724 sq.ft. garage, 2-story 706½ sq.ft. workshop, alternative sewage system, gravel motor court & court yard, retaining walls up to 6-ft-high, and 2,006 cu.yds. of grading, at 6122 busch drive, malibu, los angeles county.   ",1,1,1
"paul schaeffer to demolish 1,390 sq.ft. single-family home, construct 2-story 3,725 sq.ft. single-family home with 580 sq.ft. basement, 373 sq.ft. garage, 48-ft-long wooden bulkhead with 32 ft. & 25 ft. long return walls, septic system & leach field, and offer to dedicate lateral access easement over southern part of lot 10 feet seaward of proposed deck, at 24612 malibu road, malibu, los angeles county.  ",1,1,1
"andrew gerhard for 1-story 944 sq.ft. single-family home with attached two-car garage on 1,750 sq.ft. oceanfront lot with existing seawall, at 2610 ocean front, del mar, san diego county.  ",1,1,1
"gte mobilnet for unmanned cellular communication facility, including 2 panel antennas within existing mission bay visitor center building and 220 sq.ft. addition to house equipment, at 2688 east mission bay drive, mission bay park, san diego, san diego county.  ",11,11,11
"bill & rhonda smith to demolish single-family home and construct 5086 sq.ft. 26-ft-high, single-family home & attached 775 sq.ft. garage, with 2,471 cu.yds. of grading, on bluff top, at 80 north la senda, laguna beach, orange county.  ",1,1,1
"robert van schoonenberg to demolish 709 sq.ft. floating dock, gangway, pier four piles and install new 10'x14' platform supported by two 14\ diameter anchor piles, new 3'x24' gangway and \""u-shaped\"" floating dock supported by three 14\"" diameter guide piles, totaling 523 sq. feet in water coverage; including eelgrass mitigation plan at 2234 channel road., newport beach, orange county.  """,5,3,3
"kd development to demolish 3 apartments and construct 3-story 4,622 sq.ft. triplex on 4,217 sq.ft. oceanfront lot, at 3901-3903 ocean front walk & 710 san rafael place, mission beach, san diego, san diego county.  ",2,2,2
"newport coast development, l.l.c to demolish and reconstruct all above-ground improvements at existing gas station, including fueling canopy, convenience store, hardscape & landscape, at 301 pacific coast highway, newport beach, orange county.  ",2,2,2
"robert robinson for 75 x 12 wide deck, 29 x 4 gangway, and 80 x 8 dock with four 12",3,3,3
"north san diego county transit district to replace single-track timber railroad bridge over tecolote creek with new double-track concrete slab railroad bridge and continue double-tracking 400 feet north and 1000 feet south of bridge to join existing & approved track, within existing railroad right-of-way, east of i-5, north and south of tecolote creek bridge, san diego, san diego county.   ",11,11,11
"beacon for five-year opportunistic beach replenishment project involving up to 792,000 cu.yds. of beach quality material per year on five beaches, and pre- and post- monitoring of biological and physical impacts at goleta beach, carpinteria beach, oil piers, surfers point, and hueneme beach, santa barbara and ventura counties.  ",7,7,12
"george prajin to construct new deck cantilevered 5 feet beyond bulkhead and 29 feet in length including 42-in. high pilaster and glass railing along perimeter of new cantilevered deck and replace wrought iron railing along second, existing cantilevered deck with new 42-in. high pilaster and glass railing. the glass will be etched to avoid bird strikes, at 4001 figaro circle, huntington beach, orange county.  ",6,4,4
"university of california, san diego to construct 1-story 9-ft. high 250 sq. ft. emergency generator facility, at stephen birch aquarium, ucsd campus, la jolla, san diego, san diego county.  ",12,12,2
"h. barden wellcome for 3-ft-high privacy wall extending 3-ft into public right-of-way seaward of existing single-family home next to oceanfront walk public boardwalk, at 3887 ocean front walk, mission beach, san diego, san diego county.  ",4,4,4
"california-american water co. for permit to construct, operate, and decommission test slant well at cemex sand mining facility on monterey bay shoreline, marina, monterey county.  ",4,12,12
"hinh duong to construct 2-story, 35 ft. high, 768 sq.ft. single family home with attached 370.5 sq.ft., 2-car garage, 558 sq.ft. rooftop patio, 583 sq. ft. of deck space, private 1,500 gal. septic system, and 565 cu.yds. of grading , 4043 latigo canyon road, malibu, los angeles county.  ",1,1,1
"kelley and cindy trousdale to demolish 1-story single-family home and construct new 2-story, 4,251 sq.ft., single-family home, at 660 bayview drive on the bluff above hidden beach in aptos area of unincorporated santa cruz county.  ",1,1,1
"lloyd leonard lady, jr., henry woods, jr., albert and sharon appel, robert f. baron, del and amy brault, oliver and jean clark, sharon de almeida, bob and sarah faber, an duc nguyen, raouf and nevine fanous, medhat mounir, viola samuel, richard and iris schuster, nathan and jennie chen, larry gottlieb, larry and patricia lambert, thomas and lynn t mc inally, hung van ong, victor cohn, tony and esther uva, yaghoub younessi, eric chen, francis e goodyear, lester a. and marie e walker, john d. and nicolette m. kubeck, william newfield, zacharia reda & george f. schofhauser to repair and enhance existing bulkhead/seawalls on trinidad and humbolt islands in huntington harbour, at 16741 carousel ln, 16752 wanderer ln, 16651 carousel ln, 16611 carousel ln, 16681 carousel ln, 16601 carousel ln,16711 carousel ln, 16671 carousel ln, 16631 carousel ln, 16531 carousel ln, 16621 carousel ln, 16661 carousel ln, 16641 carousel ln, 16501 carousel ln, 3362 venture dr, 3392 venture dr, 3441 sagamore dr, 3352 venture dr, 3392 venture dr., 3422 venture dr, 3322 venture dr, 3442 venture dr, 3332 venture dr, 3372 venture dr, 3342 venture dr, huntington beach, orange county.  ",6,6,6
"sea castle apartments for temporary  use of 700 sq.ft. of 117-space public beach parking lot for construction trailer & office, at 1725 the promenade, santa monica, los angeles county.  ",11,11,11
"wet paws llc, to remove and replace boat dock, and redeck pier, at 2136 east balboa blvd., newport beach, orange county.  ",3,3,3
"wendi rothman to demolish single family home and construct new 6,755 sq. ft., 2-story single-family home over basement and 506 sq. ft., attached 2-car garage on beach front lot; structure would be three-stories on beach side and two-stories on street side. grading will consist of 734 cu. yds. of cut, 40 cu. yds. of fill, and 694 cu. yds. of export to location outside of coastal zone. landscaping, hardscape, pool and spa are also proposed, at 620 ocean ave, seal beach, orange county.  ",1,1,1
"NA5-09-008,  the city of newport beach and hoag memorial hospital presbyterian request commission action on an amendment to a previously approved  development agreement which included a master plan for the hoag hospital site. the proposed amendment would result in changes to the approved development agreement including: maintaining the overall development cap for the entire site of 1,343,238 sq.ft., transferring up to 225,000 sq.ft. of existing 577,889 sq.ft. of development potential from the lower campus portion of the site  to the upper campus  that will then have a maximum development potential of 990,349 sq.ft., at 4000 west coast highway, newport beach, orange county.  ",10,10,2
"belinda k. mccorkle to convert existing one-story 1,153 sq.ft. duplex to single-family home, construct 200 sq.ft. attached garage, demolish 267 sq.ft. of home and construct 872 sq.ft. second story addition, on 8,742 sq.ft. lot, at 2136 heather lane, del mar, san diego county.  ",1,1,1
"aviara land associates for tentative map for 65 lot subdivision, , at pa 28 of aviara master plan, south of batiquitos dr. between kestrel dr. & i-5, carlsbad, san diego county.   ",10,10,10
"frank reichwein for 8,182 sq.ft. 26-ft-high single-family home, attached 4-car garage, septic system, pool & spa, walls up to 5-ft-high, water fountain, and 2,240 cu.yds. of grading, at 30552 morning view drive, malibu, los angeles county.   ",1,1,1
"richard hambleton trust, to remove existing pier, approach, and u",3,3,3
"san diego association of governments  to construct segment 4 of bayshore bikeway, consisting of 1/2 mile long, 8-12 ft. wide class i bike path, median and traffic signal modifications, signage, re-striping, removal and replacement of up to 10 eucalyptus trees, landscaping, and 1,801 cu.yds. of grading, at eastern edge of harbor dr. right-of-way from 32nd st. to national city border, san diego, san diego county.  ",11,11,11
"NA6-04-38  dave & sheri jocis granted permit with conditions to remove privacy wall from public right-of-way and add to and remodel duplex on oceanfront lot, at 704 & 705 zanzibar court, mission beach, san diego, san diego county.  ",1,1,1
"the lee group, inc. for 30-ft-high 2,902 sq.ft. single-family home with attached garage on canal-fronting lot, at 2215 grand canal, venice, los angeles, los angeles county.  ",1,1,1
"john o'donnell to convert 11 double slips into 21 single slips, remove thirteen 12",3,3,3
"marin county department of public works to clean sediment from a box culvert and excavate approximately 415 linear feet of a stream channel at mile marker 25.00 sir francis drake blvd.  and associated channels to protect sir frances drake blvd and bear valley road from flooding, accidents and potential closure, located in inverness, marin county.  ",7,7,7
"south bay iii, llc to demolish duplex and construct new 25 ft. high, 10,517 sq.ft. single family home, at 2408 the strand, hermosa beach, los angeles county.  ",1,1,1
"david podleski to construct 3-level, 42-ft. high, 4,093 sq.ft., single-family home with attached 544 sq.ft., 3-car garage on vacant lagoon-fronting lot, at 4107 roma court, venice, city of los angeles, los angeles county.  ",1,1,1
"pacific gas and electric company to replace existing steam generators with new generators at diablo canyon nuclear power plant, located about six miles north of avila beach, san luis obispo county .",12,12,12
"stinson beach county water district to replace 800 feet of water pipeline, and abandon in place old pipeline seaward of highway 1, bolinas lagoon, marin county.  ",4,4,4
"city of san diego to demolish pump station and construct new sewer pump station underground to include pump and motor rooms, storage tank, and emergency overflow storage tank and install approx. 3,600 lineal ft. of 8-inch sewer force main, at 2723 de anza road, mission bay park, san diego, san diego county.  ",8,8,11
"christian and pamela conrad to construct 2-story, 4,883 sq. ft. single-family home, septic system, retaining walls, fire-department turnaround, 7,500-gallon water tank, widen and pave existing driveway, 2,844 cu. yds. grading , and request for after-the-fact approval of existing water well, at 1280 latigo canyon road, santa monica mountains, los angeles county.  ",1,1,1
